S.No,Item name,Brand_Name,Category,Sub_Category,Ingredients,Serving_Size_g,Calories_kcal,Carbohydrates_g,Proteins_g
332,Too Yumm! Moong Dal | No Palm Oil | 35% Less Saturated Fat,TOO YUMM,SNACKS,NAMKEEN,"Split Green Gram (77%), Edible Vegetable Oil (Rice Bran), Iodised Salt",100,469,56,21.7
333,Too Yumm! Salted Peanuts | No Palm Oil | Protein Goodness,TOO YUMM,SNACKS,NAMKEEN,"Peanuts (97%), Iodised Salt (1.1%), Edible Vegetable Oil (Rice Bran)",100,637,18,27.1
334,Haldiram's Mixture,HALDIRAMS,SNACKS,MIXTURE,"Split Pulse Bengal Gram (Chana Dal) (25%), Refined Palmolein Oil, Bengal Gram Flour (Besan) (10%), Red Lentils (Masur Whole) (8%), Groundnut (Peanuts) (7%), Potato, Spices & Condiments (Red Chilli Powder, Black Pepper, Dried Ginger Powder, Clove Powder, Cumin Powder, Cardamom, Nutmeg, Bay Leaves, Sesame Seed, Turmeric Powder, Cinnamon & Asafoetida), Rice Flakes, Tapary Beans (Moth dal) Flour, Green Peas, Spinach, Refined Wheat Flour (Maida), Iodised Salt, Acidity Regulator & Antioxidant (E 330) and Black Salt",100,533,46.44,16.03
335,Haldirams Soya Sticks,HALDIRAMS,SNACKS,SOYA STICKS,"Tapioca Starch, Refined Palmolein Oil, Soya Flour (8%), Split Pulse Urd (Urd Dal) Flour, Refined Sugar, Lodised Salt, Hydrogenated Vegetable Oil (Vanaspati), Red Chilli Powder, Coriander Powder, Cumin Powder, Clove Powder, Dried Mango Powder, Black Pepper, Cardamom, Acidity Regulator (INS 330), Onion Powder, Garlic Powder, Black Salt, Asafoetida, Bay Leaf, Nutmeg. Cinnamon, Fennel Seed, Turmeric & Mustard Seed.",100,554,45,7.46
336,Haldiram's Panchratan Mixture,HALDIRAMS,SNACKS,MIXTURE,"Potato (35%), Refined Palmolein Oil, Almond, Refined Sugar, Raisins (7%), Cashew Nuts (7%), Curry Leaves, Sesame Seed, Rock Salt, Red Chilli Powder, Poppy Seed, Acidity Regulator (INS 330), Cumin Powder, Black Salt",100,526,52.61,6.61
337,Haldiram's Khatta Meetha,HALDIRAMS,SNACKS,NAMKEEN,"Gram Pulse Flour, Edible Vegetable Oil (Cotton Seed Corn , Palmolein Oil), Peanuts, Rice Flakes, Sago, Sugar Powder, Green Peas, Gram Pulse, Lentil, Rice Flour, Edible Starch, Iodised Salt, Black Salt Powder, Spices , Condiments (Mango Powder, Turmeric Powder, Cumin Powder, Bishops Weed, Ginger Powder, Black Pepper Powder), Acidity Regulator (INS 330), Leavening Agent (INS 500 Fif), Anticaking Agent (INS 551), and Synthetic Food Colour (INS 133)",100,528.9,57.8,11.2
338,Haldiram's Moong Dal,HALDIRAMS,SNACKS,NAMKEEN,Haldiram's Moong Dal,100,476,50.66,21.31
339,Haldiram's Cornflakes Mixture,HALDIRAMS,SNACKS,MIXTURE,"Cornflakes (derived from corn) (26%), Edible vegetable oil, Potatoes (8%), Gram pulse flour (8%), Cashew nuts (7%), Raisins (7%), Sugar powder (6%), Edible common salt powder, Spinach powder, Edible starch, Sesame seeds, Mango powder, Black pepper powder, Clove powder, Mace powder, Nutmeg powder, Turmeric powder, Cinnamon powder, Black salt powder, Cardamom powder, Ginger powder, Cumin powder, Fennel, Asafoetida powder, Acidity regulator (ins 330) and anticaking agent (ins 551). Contains permitted natural colour (ins 140).",100,525,56,10
340,Haldirams Nagpur Murrukku,HALDIRAMS,SNACKS,MURUKKU  ,"Rice Flour, Refined Palmolein Oil, Bengal Gram Flour (Besan)",100,526,52.69,7.83
341,Haldiram Farali Chiwda,HALDIRAMS,SNACKS,MIXTURE,"Potato, Groundnut (Peanuts), Refined Palmolein Oil, Refined Sugar, Rock Salt, Red Chilli, Black Pepper, Poppy Seed, Dried Ginger Powder, Clove Powder, Cumin, Nutmeg, Cardamom, Cinnamon",45,268,17.1,6.4
342,Haldiram's Masala Tasty Nuts,HALDIRAMS,SNACKS,NAMKEEN,"Groundnut (Peanuts), Refined Palmolein Oil, Bengal Gram Flour (Besan), Maize Starch, Lodised Salt, Red Chilli, Acidity Regulator (INS 330), Turmeric, Black Salt, Black Pepper, Dried Ginger Powder, Cardamom, Cumin, Cinnamon, Clove, Bay Leaves, Nutmeg, and Asafoetida",100,586,32.25,19.3
343,Bingo! Tedhe Medhe,BINGO,SNACKS,CRISPS,"Rice grits, refined palmolein, seasoning (refined palmolein, spices and condiments, onion powder, iodized salt, maltodextrin, black salt, flavour enhancer (INS 508), nature identical flavouring substances, tomato powder, sugar, hydrolyzed vegetable protein, natural flavours and natural flavouring substances and garlic powder (0.1%)), degermed corn grits and Bengal gram grits (3.1%)",100,546,57.3,5.5
344,Haldiram's Dal Biji,HALDIRAMS,SNACKS,NAMKEEN,"Bengal Gram Flour (Besan), Refined Palmolein Oil, Red Lentils (Masur Whole), Iodised Salt, Red Chilli, Black Pepper, Spinach, Cumin, Clove, Nutmeg, Black Salt, Dried Ginger Powder, Cinnamon, Bay Leaves, Dried Mango Powder, Mint Leaves, Cardamom, Asafoetida",100,540,45.41,15.64
345,Granamma Kodubale/ Ring Murukku,GRANAMMA,SNACKS,KODBALE,"Rice Flour, Edible Vegetable Oil (Palmolein, Sunflower Oil, Groundnut Oil), Semolina, Refined Wheat Flour (Maida), Fried Gram Flour, Desiccated Coconut, Iodised Salt, Dried Chilli, Mixed Spices",100,512,60.1,7
346,Granamma Madras Mixture,GRANAMMA,SNACKS,MIXTURE,"Gram Flour (Besan), Edible Oil (Palmolein, Sunflower Oil, Groundnut Oil, Rice Flour, Fried Groundnut, Fried Cashewnut, Sugar Powder, Fried Curry Leaves, Iodised Salt, Mixed Spices, Refined Wheat Flour (Maida).",100,549,47.1,13
347,Granamma Ribbon Pakoda,GRANAMMA,SNACKS,CRISPS,"Rice Flour, Refined Vegetable Oil, Bengal Gram Flour (Besan), Semolina, Iodised Salt, Sesame Seeds, Chilli Powder, Cumin Seeds, Asafoetida",100,541,48.7,8.1
348,Granamma Butter Murukku,GRANAMMA,SNACKS,NAMKEEN,"Rice Flour, Refined Vegetable Oil, Roasted Bengal Gram Flour, Butter (2%), Urad Flour, Iodised Salt, Sesame Seeds, Mixed Spices",100,545,54.9,7.1
349,Granamma Kara Boondi,GRANAMMA,SNACKS,NAMKEEN,"Gram Flour (Besan), Refined Vegetable Oil (Palmolein, Sunflower Oil, Groundnut Oil), Rice Flour, Groundnut, Cashew Nut, Dried Chilli, Dried Curry Leaves, Iodised Salt, Refined Sugar, Mixed Spices",100,567,46.3,10.9
350,Dev Kadalamavu Mixture,DEV SNACKS,SNACKS,MIXTURE,"Besan Powder, Ground Nut, Vegetable Oil, Curry Leaves, Chilly Powder, Asafoetida, Salt",100,597.41,30.12,20.3
351,Dev Snacks Ghee Murukku,DEV SNACKS,SNACKS,MURUKKU  ,"Rice Powder, Urid Dal, Ghee, Gingelly Jeera, Vegetable Oil & Salt",100,513.5,67.71,2.2
352,Bingo! Flat Cut Himalayan Pink Salt,BINGO,SNACKS,POTATOCHIPS,"Potato (63.8%), Refined Palmolein, Himalayan Pink Salt (1.6%), and Beet Root Powder",100,552,54.2,8.3
353,Lay's Potato Chips WAFERstyle - Salt with Pepper Flavour,LAY'S,SNACKS,POTATOCHIPS,"Potato, Edible Vegetable Oil (Palmolein Oil), Seasoning (Maltodextrin, Iodised Salt, Spices and Condiments, Sugar, Flavour (Natural and Nature Identical Flavouring Substances), Anticaking Agent (551), Flavour Enhancers (627, 631), Edible Vegetable Oil (Palm))",100,539,53.2,6.5
354,Modern Kitchens Wheel Chips,MODERN KITCHENS,SNACKS,MURUKKU ,"Wheat Flour, Edible Starch, Refined Vegetable Oil, Red Chilli, Coriander, Cumin, Turmeric, and Black Salt",100,352.2,74,7
355,Nestle Munch Max Choco Coated Crunchy WAFERBar,NESTLE,CHOCOLATE,WAFERCHOCOLATE,"Sugar, Refined Wheat flour (Maida), Hydrogenated vegetable fats, Fractionated vegetable fat, Milk solids, Cocoa solids (3.9%), Emulsifier (Soya lecithin), Raising agent (500(ii)), Yeast, Iodised salt, Flour treatment agent (516), Artificial (VANILLA CAKE) flavouring substance and Nature-Identical flavouring substance",100,428,50,5.7
356,Cadbury Dairy Milk Chocolate Bar,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids (23%), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical, and Artificial VANILLA CAKE)",100,531,60.4,7.9
357,Ferrero Rocher,FERRERO ROCHER,CHOCOLATE,MILK CHOCOLATE,"Milk Chocolate (30%) Sugar, Cocoa Butter, Cocoa Mass, Skimmed Milk Powder, Anhydrous Milkfat, Emulsifier Lecithin - Ins 322, Nature Identical Flavouring Substance - Vanillin), Hazelnuts (28.5%), Sugar, Palm Oil, Refined Wheat Flour Maida, Whey Powder, Low Fat Cocoa Powder, Emulsifier Lecithin Ins 322), Raising Agent (Ins 500Ii), Edible Common Salt, Nature Identical Flavouring Substance Vanillin",100,595,44.4,8.2
358,Cadbury 5 Star CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar Boiled Confectionery. Ingredients: Sugar, Liquid Glucose, Milk Solids, Invert Sugar, Hydrogenated Oil, Cocoa Solids, Cocoa Butter, Fractionated Fat, Emulsifiers (442, 471, 476), Hydrolyzed Vegetable Protein, Iodised Salt, Flavours (Natural, Nature Identical And Artificial (Milk, Caramel And VANILLA CAKE) Flavouring Substances). Allergen Information: Contains Milk, Soy, Sulphites. May Contain Peanut, Wheat, Barley And Tree Nut.",100,444,72.9,3.3
359,Amul Chocominis Chocolate,AMUL,CHOCOLATE,CHOCOLATE,"Sugar, Hydrogenated Edible Vegetable Fat (Palm Kernel Oil), Milk Solids, Cocoa Solids, Permitted Emulsifiers (E492, E322), Contains Added VANILLA CAKE Flavour (Artificial Flavouring Substances)",100,545,60.7,5.5
360,Galaxy Cookie Crumble CHOCOLATE BAR,GALAXY,CHOCOLATE,CHOCOLATE BAR,"Milk chocolate (90%): sugar, milk solids, cocoa butter, cocoa solids, edible vegetable fats less than 5% (sal fat, palm oil), emulsifiers (322, 476), humectant (422). Cookies (10%): refined wheat flour (maida), sugar, edible vegetable fat (palm oil), fat reduced cocoa powder, butter, skimmed milk powder, liquid glucose, raising agents (503(ii), nature identical flavour. Contains vegetable addition to cocoa butter.",100,543,61.3,6.6
361,Galaxy Smooth Milk CHOCOLATE BAR,GALAXY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids, Cocoa Butter, Cocoa Solids, Edible Vegetable Fats, Humectant (422), Emulsifiers (322, 476)",100,553,60.2,6.4
362,Cadbury Dairy Milk Fruit & Nut CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids (18%), Cocoa Butter, Dry Fruit (Raisins (10%)), Cocoa Solids, Almonds (9%), Fractionated Fat, Emulsifiers (442, 476), Flavours (Natural, Nature Identical and Artificial (VANILLA CAKE) Flavouring Substances). Contains Cocoa Butter Equivalent In Addition To Cocoa Butter",100,520,58.8,8.5
363,Hershey's Kisses Milk Chocolate,HERSHEYS,CHOCOLATE,CHOCOLATE,"Sugar, Milk Solids (27%), Cocoa Butter, Cocoa Solids, and Emulsifiers (INS 322(i) and INS 476)",100,525,60.5,9.08
364,Confetteria Raffaello Coconut and White Almond,CONFETTERIA RAFFAELLO,CHOCOLATE,CHOCOLATE,"Desiccated Coconut, Palm Oil, Sugar, Almond, Skimmed Milk Powder, Whey Powder, Shea Butter, Refined Wheat Flour (Maida), Tapioca Starch, Nature Identical Flavouring Substances, Emulsifier (Lecithin - INS 322), Raising Agent (INS 500ii), Edible Common Salt",100,627,38.6,7.4
365,Cadbury Dairy Milk Crispello CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Milk Chocolate 50%- Sugar, Milk Solids (11%), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical and Artificial (VANILLA CAKE) Flavouring Substances), Centre 50%- Sugar, Fractionated Fat, Wheat Crispies 11% (Refined Wheat Flour (Maida), Sugar, Corn Starch, Cocoa Solids, Iodised Salt, Palm Kernel Oil, Leavening Agents (450(I), 500(I), 341(I))), Corn Starch, Cocoa Solids, Emulsifiers (442, 476), Iodised Salt, and Artificial (VANILLA CAKE) Flavouring Substances",100,523,64.5,5.2
366,Twix Minis Cookie Caramel Chocolate Pack,TWIX,CHOCOLATE,CHOCOLATE BAR,"Sugar, Liquid Glucose, Refined Wheat Flour (Maida) (17%), Edible Vegetable Fat (Palm Fat), Milk Solids, Cocoa Butter, Cocoa Solids, Salt, Emulsifier (Ins 322), Raising Agent (Ins 500), and Natural Flavour (VANILLA CAKE)",100,493,66.8,4.6
367,"Sunfeast Fantastik Fruit n Nut, Chocolaty Bar",SUNFEAST,CHOCOLATE,CHOCOLATE BAR,"Sugar, Hydrogenated Vegetable Oil, Milk Solids, Almond Bits, Raisins, Cocoa Solids, Cashew Bits, Emulsifier (Lecithin From Soyabean), Nature Identical Flavouring Substances",100,546,60.6,8.2
368,Cadbury Dairy Milk Silk Oreo CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Milk Chocolate (50%)- Sugar, Milk Solids (13%), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical and Artificial (VANILLA CAKE) Flavouring Substances); Centre (50%)- Fractionated Fat, Biscuit 13% (Refined Wheat Flour (Maida), Sugar, Palmolein, Invert Sugar, Cocoa Solids, Leavening Agents (500(ii), 503(ii)), Iodised Salt, Emulsifier (322), Flavours (Artificial (VANILLA CAKE) Flavouring Substances)), Sugar, Milk Solids, Emulsifier (442), Flavours (Artificial (VANILLA CAKE) Flavouring Substances)",100,563,56.9,6
369,Eat Anytime Coffee Cinnamon Date Laddoo,EAT ANYTIME,CHOCOLATE,LADDU,"Dates, Almonds, Coconuts, Oats, Coffee, Chia Seeds, Sea Salt",100,474.8,49.9,14.3
370,Cadbury Nutties Chocolate,CADBURY,CHOCOLATE,CHOCOLATE,"Center (56%) (Sugar, Cashews (11%), Milk Solids, Glazing Agent (904), Stabilizers (1400, 414), lodised Salt, Flavours (Natural and Nature Identical Flavouring Substances), Emulsifier (442), Almond); Milk Chocolate (44%) (Sugar, Milk Solids (9%), Cocoa Butter, Cocoa Solids, Fractionated Fat, Emulsifiers (442, 476), Flavours (Natural, Nature Identical and Artificial (VANILLA CAKE) Flavouring Substances))",100,511,67.2,5
371,Nestle Milkybar Tablet Made With Milk Yummy & Creamy Treat,MILKY BAR,CHOCOLATE,CHOCOLATE BAR,"Milk Solids (35%), Sugar, Hydrogenated Vegetable Fats, Fractionated Vegetable Fat, Emulsifier (Soya Lecithin), Nature-identical Flavouring Substance",100,524,50.1,11.1
372,Snickers Peanut Filled CHOCOLATE BAR Loaded with Delicious Roasted Peanuts,SNICKERS,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids, Cocoa Butter, Cocoa Solids, Edible Vegetable Fats (Sal Fat, Palm Oil), Dextrose, Emulsifier (INS 322), Liquid Glucose, Peanuts, Hydrogenated Vegetable Oil (Palm Oil), Iodized Salt",100,491,57.43,8.83
373,Cadbury Dairy Milk Silk Desserts Brownie CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Milk Chocolate (60%)- Sugar, Milk Solids, Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (VANILLA CAKE); Centre (40%)- Walnuts (7%), Fractionated Fat, Sugar, Refined Wheat Flour (Maida), Cocoa Solids, Milk Solids, Interesterified Fat, Humectant (422), Water, Palmolein, Emulsifiers (322, 442, 476), Invert Sugar, Flavours (Brownie, VANILLA CAKE), Raising Agents (500(ii), 503(ii)), Iodized Salt, Antioxidant (307c)",100,557,50.9,8.1
374,Hershey's Creamy Milk CHOCOLATE BAR,HERSHEYS,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids (28%), Cocoa Solids (17.7%), Cocoa Butter, Edible Vegetable Oil (Sunflower and Palm), Emulsifiers (322 (i), 476), Flavour (Artificial Flavouring Substance-Vanillin)",100,553,52.4,8.8
375,Hershey's Cookies 'N' Creme CHOCOLATE BAR,HERSHEYS,CHOCOLATE,CHOCOLATE BAR,"Sugar, edible vegetable oil (sunflower and palm oil), cookies (#19%) {refined wheat flour (maida), sugar, edible vegetable oil (palm oil), cocoa solids (#2%), emulsifier (322 (I)), milk solids, raising agent (500ii)}, milk solids (#18.6%), corn syrup solids, edible vegetable oil (palm and palm kernel oil), emulsifier (322 (I)) and flavor (artificial flavouring substance - vanillin)",100,522,65,5.5
376,Cadbury Dairy Milk Bites Hazelnut Chocolate Pack,CADBURY,CHOCOLATE,CHOCOLATE,"Milk Chocolate (Sugar, Milk Solids, Cocoa Butter, Cocoa Solids, Fractionated Fat, Emulsifiers (442, 476), Natural Flavours, Nature Identical and Artificial VANILLA CAKE Flavouring), Hazelnuts, Glazing Agent (904), Stabilizers (414, 1400), Sugar, Liquid Glucose",100,566,48.1,9.2
377,Hershey's Dark CHOCOLATE BAR,HERSHEYS,CHOCOLATE,CHOCOLATE BAR,"Sugar, Cocoa Solids, Cocoa Butter, Milk Solids, Emulsifiers, Flavour",100,535,62,5
378,"Galaxy Fusions Silky Smooth Dark CHOCOLATE BAR, Made with 70% Cocoa",GALAXY,CHOCOLATE,CHOCOLATE BAR,"Cocoa mass, Sugar, Cocoa butter, Emulsifiers: ins 322 (lecithin), Natural flavor: VANILLA CAKE, Cocoa content: Total cocoa content: 70%",100,568,30.8,7.5
379,Cadbury Dairy Milk Silk Bubbly CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids (25%), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical, and Artificial (VANILLA CAKE) Flavouring Substances)",100,543,58.5,7.6
380,Cadbury Dairy Milk Silk CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE,"Sugar, Milk Solids, Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Natural Flavours, Nature Identical and Artificial VANILLA CAKE Flavouring Substances",100,543,58.5,7.6
381,Nestle KitKat Delights Rich,NESTLE,CHOCOLATE,CHOCOLATE,"Milk Chocolate (68.8) (Sugar, Milk solids (16.6), Cocoa butter (12), Cocoa solids (8.2), Emulsifier (Soya lecithin) & Artificial (VANILLA CAKE) flavouring substances), WAFER(Refined Wheat flour (Maida), Sugar, Hydrogenated vegetable fats, Cocoa solids (1.5), Milk solids, Fractionated vegetable fat, Yeast, Raising agent (500(ii)), Emulsifier (Soya lecithin), lodized salt, Flour treatment agent (516), Artificial (VANILLA CAKE) flavouring substances & Nature identical flavouring substances)",100,441,49.6,6.2
382,Cadbury Dairy Milk Silk Mousse CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Milk Chocolate 55%- Sugar, Milk Solids (13%), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical and Artificial (VANILLA CAKE) Flavouring Substances) Centre Filling 45%: Fractionated Fat, Sugar, Cocoa Solids, Milk Solids, Emulsifier (442), Flavour (Artificial (VANILLA CAKE) Flavouring Substances)",100,553,52.4,8.7
383,Kinder Creamy Milky And Cocoa With Extruded Rice,KINDER JOY,CHOCOLATE,CHOCOLATE,"Sugar, Skimmed Cow Milk Powder (22%), Palmolein, Palm Oil, Extruded Rice (7.7%), Low Fat Cocoa Powder (2.6%), Emulsifier (Lecithin - INS 322), Powdered Barley Malt Extract, Emulsifier (Lecithin - INS 322), Powdered Barley Malt Extract, Nature-Identical Flavouring Substances",100,539,55.4,8.4
384,Hershey's Kisses Cookies 'N' Cream Chocolate,HERSHEYS,CHOCOLATE,CHOCOLATE,"White Chocolate (89%): Milk Solids (34%), Sugar, Cocoa Butter, Cookies (11%): Wheat Flour, Sugar, Edible Vegetable Oil (Palm Oil), Cocoa Solids (10.3%), Emulsifier 322(I), Acidity Regulator 500(II), and Milk Solids, Emulsifiers (476 and 322(I))",100,530,58,9.3
385,Hershey's Exotic Raspberry & Goji Dark Chocolate,HERSHEYS,CHOCOLATE,CHOCOLATE,"Center (55%): Sugar, Liquid Glucose, Fruit Pulp (10.1%) ((Papaya (9.7%), Raspberry (0.2%), Gojiberry (0.2%)), Stabilisers (440,414,331 (iii)), Acidulant (296). Chocolate (45%): Sugar, Cocoa solids (29.4%), Cocoa butter, Milk solids, Emulsifier (322(i)), Liquid glucose, Stabiliser (1400), Edible common salt and Glazing agent (904)",100,451,80.4,1.97
386,Cadbury Temptations Almond Treat Premium CHOCOLATE BAR,BOURNVILLE,CHOCOLATE,CHOCOLATE BAR,"Sugar, Almonds (17%), Cocoa Butter, Milk Solids, Cocoa Solids, Fractionated Fat, Emulsifiers (442,476), Flavours (Natural, Nature Identical And Artificial (VANILLA CAKE) Flavouring Substances). Contains Cocoa Butter Equivalent In Addition To Cocoa Butter.Allergen Information: Contains Milk, Almonds, Soy May Contain Other Tree Nuts",100,555,53.4,9
387,Amul Dark CHOCOLATE BAR,AMUL,CHOCOLATE,CHOCOLATE BAR,"Sugar, Cocoa Solids, Cocoa Butter, Permitted Emulsifiers (E322, E476). Contains Added Flavours (Artificial Flavouring Substances - Cocoa and VANILLA CAKE)",100,521,51.4,6.4
388,Hershey's Exotic Dark Chocolate Californian Almonds - With Blackberry Crunchy Dark Chocolate,HERSHEYS,CHOCOLATE,CHOCOLATE,"Center (30%): Roasted almonds (29%), Stabilizers (415,1400), Anticaking agent (551) and Blackberry fruit powder (0.15%). Chocolate (70%): Sugar, Cocoa solids (20%), Cocoa butter, Milk solids, Liquid glucose, Emulsifier (322(i)), Stabiliser (1400), Edible common salt and Glazing agent (904)",100,564,50.8,8.5
389,Cadbury Temptations Rum & Raisins Premium CHOCOLATE BAR,BOURNVILLE,CHOCOLATE,CHOCOLATE,"Sugar, Raisins (18%), Cocoa Butter, Cocoa Solids, Milk Solids, Fractionated Fat, Emulsifiers (442, 476), Flavours (Natural, Nature Identical, and Artificial (Rum, Raisin, VANILLA CAKE) Flavouring Substances)",100,498,62.2,5.7
390,Nestle KitKat Delights Caramel,NESTLE,CHOCOLATE,CHOCOLATE BAR,"Milk Chocolate (68.9) (Sugar, Milk solids (16.6), Cocoa butter (12), Cocoa solids (8.2), Emulsifier (Soy lecithin), Nature identical (Cream Caramel) flavouring substances & Artificial (VANILLA CAKE) flavouring substances), WAFER(Refined Wheat flour (Maida), Sugar, Hydrogenated vegetable fats, Cocoa solids (0.68), Milk solids, Fractionated vegetable fat, Yeast, Raising agent (500(ii)), Emulsifier (Soy lecithin), Flour treatment agent (516), lodized Salt, Artificial (VANILLA CAKE) flavouring substances & Nature identical Flavouring substances)",100,441,49.9,6
391,Bounty Miniatures Coconut Filled Chocolate Pack,BOUNTY,CHOCOLATE,CHOCOLATE BAR,"Milk chocolate coating (44%) (Sugar, Milk solids, Cocoa butter, Cocoa solids, Edible vegetable fat less than 5% (Palm oil). Emulsifier (322)); Centre filling (Desiccated coconut (18%), Sugar Liquid glucose, Emulsifier (471). Hu,ectant (422), Salt)",100,490,59.4,3.9
392,Cadbury Dairy Milk Silk Hazelnut CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids (21%), Hazelnuts (16%), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical, and Artificial VANILLA CAKE)",100,566,51.4,8.7
393,"Snickers Filled with Brownie, Peanuts & Caramel CHOCOLATE BAR",SNICKERS,CHOCOLATE,CHOCOLATE BAR,"Milk chocolate (35%): (Sugar, Milk solids, Cocoa butter, Cocoa solids, Dextrose, Edible vegetable fat <5% (Sal fat, Palm oil), Emulsifier (322)); Centre filling (65%): (Liquid glucose, Peanuts (13%), Sugar, Cocoa solids (9.6%), Milk solids, Edible vegetable fat (Palm oil, Sesame oil), Invert sugar, lodized salt, Nature identical flavour, Cocoa butter, Emulsifier (322)).",100,494.9,59.3,7.3
394,Cadbury Dairy Milk Lickables Chocolate with Oreo Chunks,CADBURY,CHOCOLATE,CHOCOLATE,"Sugar, Palm Superolein, Milk Solids (11%), Biscuit 10% (Refined Wheat Flour (Maida), Sugar, Palmolein, Invert Sugar, Cocoa Solids, Leavening Agents (500)(i), 503(i), lodised Salt, Emulsifier (322), Flavours (Artificial (VANILLA CAKE) Flavouring Substances)), Cocoa Solids, Wheat crispies 5%* (Refined Wheat Flour (Maida), Sugar, Starch, lodised Salt, Cocoa Powder, Palm Kernel Oil, Leavening Agents (450 (1), 500(i), 341 (1))), Mineral, Stabilizing Agent (1400), Hydrogenated Vegetable Fat, Emulsifiers (442, 476), Flavours (Natural, Nature Identical, Artificial (Caramel and VANILLA CAKE) Flavouring Substances)",100,490,59.2,7
395,Hershey's Kisses Choco Truffle,HERSHEYS,CHOCOLATE,CHOCOLATE,"Milk Chocolate (Sugar, Milk Solids, Cocoa Solids, Cocoa Butter, Edible Vegetable Oil (Sunflower and Palm), Emulsifiers (322, 476), Flavour (Artificial Flavouring Substance - Vanillin)), Center Filling (Edible Vegetable Oil (Palm and Rapeseed), Sugar, Milk Solids, Cocoa Solids, Emulsifiers (322, 476))",100,546,59,6.6
396,Amul Fruit 'N' Nut Chocolate,AMUL,CHOCOLATE,CHOCOLATE BAR,"Sugar, Cocoa Solids, Cocoa Butter, Almonds (8%), Raisins (5%), Permitted Emulsifiers (E322, E476), Added Flavours (Artificial Flavouring Substances - Cocoa and VANILLA CAKE)",100,556,55,7.1
397,Cadbury Dairy Milk Silk Desserts Plum Cake CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Milk Chocolate (60%)- Sugar, Mik Solids (15%) Cocoa Butter Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical and Artificial (VANILLA CAKE) Flavouring Substances); Centre (40%)- Apple Orange Pieces (7%) (Invert Syrup, Humectant (422), Apple Puree Concentrate (1%) Liqud Glucose, Sugar, Wheat Fibre, Orange Juice Concentrate (0.4%) Refined Palm Oil Thickening Agent (440), Acidity Regulator (330), Flavour (Natural (Orange) Flavouring Substances), Colour (100)). Fractionated Fat Sugar Refined Wheat Flour (Maida), Cocoa Solids, Milk Solids, Interesterified Fat, Humectant (422), Water, Palmolein, Emulsifiers (322, 442, 476), Invert Syrup. Flavours (Natural (Plum Cake), Nature Identical and Artificial (VANILLA CAKE) Flavouring Substances), Lodized Salt, Raising Agents (500(Ii), 503()), and Antioxidant (307C)",100,533,55.6,6.9
398,Mars Caramel CHOCOLATE BAR,MARS,CHOCOLATE,CHOCOLATE BAR,"Sugar, Liquid glucose, Milk solids, Invert Sugar, Hydrogenated Oil, Cocoa Butter, Cocoa Solids, Fractionated Fat, Emulsifiers (442, 471, 476), Hydrolyzed Vegetable Protein, lodised Salt, Flavours (Natural, Nature Identical and Artificial (Caramel and VANILLA CAKE) Flavouring Substances).",100,450,70,4
